sent_index,main_topic,main_prob,sentence
210,0,0.9872,党的二十大以来，随着新时代文化建设的深入推进，全党全国各族人民的文化自信更加鲜明，中华民族的文化主体性更加巩固，中华文明历久弥新的博大气象更加彰显
211,3,0.4997,习近平新时代中国特色社会主义思想坚守和平发展、合作共赢的人间正道，鲜明提出以建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界为努力目标，以推动共商共建共享的全球治理为实现路径，以践行全人类共同价值为普遍遵循，以推动构建新型国际关系为基本支撑，以落实全球发展倡议、全球安全倡议、全球文明倡议、全球治理倡议为战略引领，以高质量共建“一带一路”为实践平台，使构建人类命运共同体的理念与愿景更加清晰可感、更加科学完备、更加成熟可行，系统回答了“建设一个什么样的世界、怎样建设这个世界”的时代命题，为解决全球性问题提供了一系列具有重大标识意义的中国方案
212,0,0.9853,下一步，我们将按照党中央要求，精心组织学好用好《习近平谈治国理政》第五卷，持续推动学习宣传贯彻习近平新时代中国特色社会主义思想走深走实
213,0,0.9826,持续推进习近平总书记著作翻译出版和宣介推广，让国际社会更好认识我们党、我们国家和我们的新时代
214,0,0.9801,这部重要著作是全面系统反映习近平新时代中国特色社会主义思想最新成果的权威著作
215,0,0.9836,认真研读这部重要著作，我们深切体会到，守正创新是贯穿全书的鲜明特点，充分彰显了习近平新时代中国特色社会主义思想的理论品格和独特魅力
216,0,0.9914,坚持守正创新，是党的二十大报告总结提炼和深刻阐述的“六个必须坚持”之一，是习近平新时代中国特色社会主义思想的立场观点方法的重要体现，是其理论精髓的重要方面，也是我们党在新时代治国理政的重要思想方法
217,2,0.7437,关于大力发展全过程人民民主，习近平总书记强调大力发展全过程人民民主、健全人民当家作主制度体系，为推进中国式现代化广泛凝聚力量，鲜明提出把铸牢中华民族共同体意识作为新时代党的民族工作主线、民族地区各项工作的主线，推动党的民族工作高质量发展
218,0,0.9906,关于发展新时代中国特色社会主义文化，习近平总书记提出坚持党的文化领导权、更好担负起新的文化使命、加快建设文化强国，深刻阐释中华文明的突出特性，强调高扬中华民族的文化主体性，在创造性转化和创新性发展中赓续中华文脉
219,1,0.5425,关于推进国家安全体系和能力现代化，习近平总书记提出推动新时代社会工作高质量发展，以新安全格局保障新发展格局，强调完善基层治理体系
220,4,0.6306,关于深入推进新时代党的建设新的伟大工程，习近平总书记创造性提出并深刻阐释解决大党独有难题、健全全面从严治党体系、铲除腐败滋生的土壤和条件等重大命题；全面阐述深入推进党的自我革命的实践要求；强调坚持解放思想、实事求是、与时俱进、守正创新，不断深化对党的自我革命的规律性认识，深入推进全面从严治党，不断在革故鼎新、守正创新中实现自身跨越，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
221,4,0.741,自2014年10月在德国法兰克福举行多语种版首发式以来，《习近平谈治国理政》已出版5卷、42个语种，发行覆盖180多个国家和地区，进入海外1700多家重要图书馆、500多家主流书店和线上平台，在全球5大洲40多个国家举办首发式、读者会、研讨会等国际宣介活动，受到各国政要、专家学者和各界读者的普遍欢迎，成为当今世界翻译出版语种最多、覆盖范围最广、影响力最大的领导人著作之一，是国际社会读懂习近平新时代中国特色社会主义思想、读懂中国共产党、读懂新时代中国、读懂中国式现代化的权威读本和重要文献
222,0,0.9899,10余年来，《习近平谈治国理政》的出版发行，开辟了系统宣介、阐释党的创新理论和新时代中国治国理政方略的新境界，书写了当代中国思想理论世界性传播的新篇章，在中外文明交流史上树立了新的里程碑
223,0,0.7992,习近平总书记系统科学回答了什么是中国式现代化、怎样推进中国式现代化的重大现实问题，继续深刻回答了建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国的重大时代课题，初步构建并丰富发展了中国式现代化的理论体系，为新时代新征程以中国式现代化全面推进强国建设、民族复兴伟业提供了根本遵循和行动指南
224,0,0.9787,这是新时代中国共产党人对世界现代化理论和实践的重大创新，是为人类对更好社会制度的探索作出的新的贡献
225,0,0.9613,党的十八大以来，中国特色社会主义进入新时代
226,2,0.9913,习近平总书记亲自谋划、亲自部署、亲自推动，主持召开党的历史上第一次中央党的群团工作会议，连续三次出席中国妇女全国代表大会，并与全国妇联新一届领导班子成员集体谈话，就妇女儿童和妇联工作、注重家庭家教家风建设发表一系列重要论述，为新时代妇女事业发展指方向、定方位、明方针
227,2,0.5838,新时代中国妇女事业发展取得历史性成就，中国特色社会主义妇女发展道路越走越宽广
228,2,0.5614,值此峰会召开之际，为系统介绍新时代中国促进男女平等和妇女全面发展的理念原则和创新实践，生动展示中国妇女的卓越风采与责任担当，与世界各国一道推动全球妇女事业发展，特发布此白皮书
229,2,0.9836,加强妇女先进典型宣传，通过专题报道、宣传发布、组织先进事迹报告会等，大力宣传新时代妇女热爱祖国、奉献人民的家国情怀，自强不息、砥砺前行的奋斗精神，积极进取、崇德向善的高尚情操，男女平等理念在全社会大力倡扬
230,2,0.9905,加强优质网络内容供给，开展特色主题宣传，推出新时代妇女主题歌曲《花开中国》、妇联组织形象片《在一起》、家庭形象宣传片《我爱我家》等一批展示妇女时代风采、体现家国情怀的新媒体产品，在广大妇女、亿万家庭中广泛传播，妇女思想政治引领工作呈现新气象
231,2,0.7408,新时代家庭关系更加平等和谐
232,2,0.4103,中国妇女自觉把自身的前途命运同国家和民族的前途命运紧紧联系在一起，积极投身富强民主文明和谐美丽的社会主义现代化强国建设，以行动建功新时代，以奋斗创造美好生活
233,4,0.7882,女性文艺工作者创作出一大批精品力作，京剧《母亲》、芭蕾舞剧《沂蒙》、散文集《我的阿勒泰》、电视剧《山花烂漫时》、电影《秀美人生》、纪录片《海云阿姨》、综艺节目《花儿绽放》《乘风2024》、短剧《大妈的世界》等，塑造新时代妇女形象的文艺作品精彩纷呈
234,4,0.7076,全民健身活动广泛开展，“万村女性社会体育指导员培训计划”培养了6.5万余名农村女性社会体育指导员，截至2024年底，全国累计有社会体育指导员约371万人，女性占56.1%，在发展新时代全民健身事业中彰显巾帼担当
235,2,0.4501,新时代中国妇女的自尊自信自立自强精神，绽放在中国共产党领导下全国各族人民踔厉奋发的前行之路上；新时代中国妇女事业发展的光辉历程，深深融入到中国共产党领导下实现“两个一百年”奋斗目标的历史进程中
236,2,0.9897,中国将在习近平新时代中国特色社会主义思想指引下，坚定不移走中国特色社会主义妇女发展道路，坚持男女平等基本国策，深入实施中国妇女发展纲要，提升妇女综合素质，积极为妇女参与经济社会发展创造条件、搭建平台，保障妇女合法权益，让妇女走在时代前列
237,3,0.5765,浙江省委常委、宣传部部长赵承表示，浙江围绕推动“一带一路”文明交流互鉴，突出循迹溯源、立足“重要窗口”，向包括共建“一带一路”国家在内的世界各国讲好习近平主席的故事、讲好浙江人民践行习近平新时代中国特色社会主义思想的故事，深挖中华文明重要发祥地的内涵，办好良渚论坛，让中华文明与世界文明、共建“一带一路”国家文明在交流互鉴中焕发光彩
238,2,0.9767,以人民之心为心、以天下之利为利，新时代中国的领航者庄严承诺：“中国共产党是为中国人民谋幸福、为中华民族谋复兴的党，也是为人类谋进步、为世界谋大同的党
239,3,0.4313,"”
进入新时代，习近平总书记站在历史的高度，着眼中国人民和世界人民的共同利益，以大党大国领袖和世界级领袖的宽广战略视野、卓越政治智慧、深厚天下情怀，准确把握人类社会发展大势和演变规律，高瞻远瞩地提出构建人类命运共同体重大理念，在历史转折关头为世界和平发展指明方向，为人类共同进步凝聚强大共识"
240,2,0.938,新时代新征程，中华民族伟大复兴何以势不可挡
241,1,0.9888,从一派衰败凋零的景象到一派欣欣向荣的气象，中国共产党领导人民取得了新民主主义革命、社会主义革命和建设、改革开放和社会主义现代化建设的伟大胜利，开创了中国特色社会主义新时代，中华民族迎来了从站起来、富起来到强起来的伟大飞跃，中华民族伟大复兴的历史进程不可逆转
242,4,0.7488,新时代以来，从勇担建设“五个中心”的重要使命，到“加快建成具有全球影响力的科技创新高地”，再到深入践行人民城市理念、发展全过程人民民主……上海日益成为具有世界影响力的社会主义现代化国际大都市，去年地区生产总值超过5万亿元
243,4,0.661,从“一个尊重、五个统筹”到“一个优化、六个建设”，从“走出一条中国特色城市发展道路”到“走出一条中国特色城市现代化新路子”……习近平总书记现代化人民城市理论为我国城市发展擘画宏伟蓝图、指明实践路径，实现了马克思主义城市理论在新时代的原创性突破
244,0,0.9878,”习近平新时代中国特色社会主义思想不断回答中国之问、世界之问、人民之问、时代之问，为实现中华民族伟大复兴提供了科学指引和行动指南
245,0,0.6334,一个结论分外明晰：“两个确立”对新时代党和国家事业发展、对推进中华民族伟大复兴历史进程具有决定性意义
246,4,0.7074,”牢固树立大农业观、大食物观，以农业科技现代化为支撑，我国粮食生产实现“21连丰”……新时代中国实现了“中国人的饭碗主要装中国粮”的历史性变革，夯实了稳大局、应变局、开新局的“压舱石”
247,4,0.9854,”建起全球最大、发展最快的可再生能源体系，建成全球最大、最完整的新能源产业链，成为全球能耗强度降低最快的国家之一……新时代中国找到“顺应能源大势之道”，为经济社会发展提供了有力支撑
248,4,0.6796,新时代生态文明建设成就举世瞩目，实现由重点整治到系统治理、由被动应对到主动作为、由全球环境治理参与者到引领者、由实践探索到科学理论指导“四个重大转变”，成为新时代党和国家事业取得历史性成就、发生历史性变革的显著标志
249,1,0.8207,"…………
新时代的伟大成就和变革，开辟了中国式现代化的广阔前景，为全面建成社会主义现代化强国、实现中华民族伟大复兴奠定了更加坚实的基础"
250,4,0.9686,62.8万建档立卡贫困人口全部脱贫，全区人均预期寿命从2010年的68.17岁提高到目前的72.5岁……新时代以来，西藏步入发展最好、变化最大、各族群众得实惠最多的历史时期
251,4,0.9876,"”
新时代以来，从“一个都不能少”的全面小康，到“一个都不能掉队”的共同富裕，再到建成世界上规模最大的教育体系、社会保障体系、医疗卫生体系……为人民谋幸福，初心如磐；让现代化建设成果更多更公平惠及全体人民，矢志不移"
252,2,0.579,中老铁路，使老挝从“陆锁国”变为“陆联国”；秘鲁钱凯港，成为“新时代的印加古道”新起点……高质量共建“一带一路”，筑就共同发展的机遇之路、繁荣之路
253,2,0.5679,“我们对时间的理解，是以百年、千年为计”“中国共产党立志于中华民族千秋伟业”……对时间的信念中，镌刻着新时代中国共产党人的历史自觉和历史担当
254,0,0.9892,有以习近平同志为核心的党中央坚强领导，有习近平新时代中国特色社会主义思想科学指引，有中国特色社会主义制度显著优势，有亿万中国人民团结奋斗——向前进，我们信心十足、底气十足、力量十足
255,0,0.9845,"”
“创造了五千多年辉煌文明的中华民族，必将在新时代新征程上创造出新的更大辉煌，必将为人类和平和发展的崇高事业作出新的更大贡献"
256,0,0.9903,他表示，《习近平谈治国理政》第五卷是新时代中国共产党人坚持和发展中国特色社会主义的最新理论结晶，生动记录了习近平总书记带领党和人民继续进行伟大斗争、建设伟大工程、推进伟大事业、实现伟大梦想的历史进程
257,0,0.9896,学习《习近平谈治国理政》第五卷，最重要的就是深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，自觉做新时代党的创新理论的坚定信仰者和忠实实践者
258,0,0.939,蔡奇表示，《习近平谈治国理政》第五卷是对党的二十大以来党领导人民推进中国式现代化伟大实践的科学总结，集中展现了我们党坚持“两个结合”、推进马克思主义中国化时代化的最新成果，充分反映了我们党推动构建人类命运共同体的智慧担当，为我们进一步学习贯彻习近平新时代中国特色社会主义思想提供了权威教材
259,0,0.9872,要加深对马克思主义中国化时代化最新成果的理解，坚持不懈用习近平新时代中国特色社会主义思想凝心铸魂，自觉用以武装头脑、指导实践、推动工作
260,0,0.6001,要将《习近平谈治国理政》第一卷至第五卷作为一个整体，认真组织学习，深化理论研究，加强宣传阐释，创新对外宣传，把学习宣传贯彻习近平新时代中国特色社会主义思想引向深入，激励广大党员、干部和群众为以中国式现代化全面推进强国建设、民族复兴伟业而努力奋斗
261,3,0.7715,这是继全球发展倡议、全球安全倡议、全球文明倡议之后，新时代中国向世界贡献的又一重要公共产品，为动荡不安的世界注入稳定性和确定性
262,3,0.9667,两国保持高层密切交往，为构建新时代全天候中柬命运共同体指明方向
263,2,0.9678,（作者为上海市习近平新时代中国特色社会主义思想研究中心研究员，中共上海市委党校副校长、教授）
264,0,0.7523,特别是进入新时代以来，以习近平同志为核心的党中央把气象事业摆到更加重要的位置，习近平总书记多次作出重要指示批示，为气象高质量发展指明了方向、提供了根本遵循
265,2,0.5339,进入新时代，广大气象工作者牢记习近平总书记殷切嘱托，时刻把人民的安危福祉放在心中、担在肩上，坚持趋利避害并举，在全心全意为人民服务的道路上步履坚定
266,4,0.9812,进入新时代，广大气象工作者锚定高质量发展首要任务，坚持开拓创新、精益求精，深入攻坚应对极端天气、适应气候变化的监测预报预警“实战能力”，全球气象服务的步伐不断加快
267,4,0.7551,进入新时代，广大气象工作者心系“国之大者”，把个人价值追求融入党和人民事业，把气象现代化建设融入中国式现代化伟大实践，为气象高质量发展和构建人类命运共同体作出积极贡献
268,0,0.9883,作为当代中国马克思主义、二十一世纪马克思主义，习近平新时代中国特色社会主义思想贯通体现着马克思主义大本大源，并以一系列原创性成果谱写了马克思主义中国化时代化新篇章
269,0,0.9872,深刻把握马克思主义的强大生命力，对于坚定理论自信，更好学习贯彻运用习近平新时代中国特色社会主义思想，具有重要意义
270,0,0.9749,坚持人民至上，是习近平新时代中国特色社会主义思想的根本立场，是贯穿其中的红线
271,0,0.8286,习近平新时代中国特色社会主义思想立足我国国情，准确把握我国发展的历史方位，从人类发展大潮流、世界变化大格局、中国发展大历史的战略高度深刻分析形势、科学谋划未来，提出一系列具有战略性、前瞻性、引领性的目标任务
272,0,0.9872,习近平新时代中国特色社会主义思想坚持把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，形成一系列原创性成果，极大丰富和发展了马克思主义
273,0,0.9892,习近平总书记在创立和发展习近平新时代中国特色社会主义思想过程中，不断深化对理论创新的规律性认识，概括了推进马克思主义中国化时代化必须坚持“两个结合”的根本途径和“六个必须坚持”的科学方法
274,1,0.5806,在习近平新时代中国特色社会主义思想指引下，我们党团结带领人民不断推进实践创新，推动党和国家事业取得历史性成就、发生历史性变革，深化拓展了中国式现代化这条强国建设、民族复兴的康庄大道，形成了推进中国式现代化的理论体系、战略体系、制度体系、政策体系以及一系列思路举措，使中国式现代化特色更加鲜明、优势更加彰显、前景更加光明，续写了经济快速发展、社会长期稳定“两大奇迹”的崭新篇章，实现中华民族伟大复兴进入了不可逆转的历史进程
275,0,0.5634,习近平新时代中国特色社会主义思想彻底的批判力主要体现为敢于斗争、善于斗争，体现为敢于直面经济社会发展中的突出矛盾和问题，积极应对各种风险和挑战，以自我革命精神消除影响党的先进性和纯洁性的一切消极因素，以强大定力和底气同外部围堵遏制打压作坚决斗争
276,1,0.986,当股份制刚出现时，马克思就敏锐地观察到“在工业上运用股份公司的形式，标志着现代各国经济生活中的新时代”“是发展现代社会生产力的强大杠杆”，并且认为“股份资本，作为最完善的形式（导向共产主义的）”，是资本再转化为“联合起来的生产者的财产，即直接的社会财产”的“过渡点”
277,0,0.986,习近平新时代中国特色社会主义思想在推动马克思主义中国化时代化的过程中，始终保持开放姿态，熔铸古今、汇通中西，思接千载、视通万里，内容博大精深，是中华文化和中国精神的时代精华
278,0,0.9906,习近平新时代中国特色社会主义思想用马克思主义激活中华优秀传统文化并赋予其新的时代内涵，充分吸收中华优秀传统文化中天下为公、民为邦本、为政以德、革故鼎新、任人唯贤、德主刑辅、以德化人等安邦理政的治国之道，正心诚意、修身齐家、自强不息、厚德载物、慎微慎独、迁善改过、推己及人、重诺守信、抑恶扬善、扶危济困等修身处世的道德理念，究天人之际、通古今之变、察万物之源等格物究理的思想方法，言简意赅、意深辞雄、凝练晓畅、质文兼备的表达方式，体现了深厚的中华文化情怀
279,0,0.9826,习近平新时代中国特色社会主义思想不仅蕴含着丰富的政治智慧、思想智慧、经验智慧，而且闪耀着人格光辉
280,3,0.8557,从2000多年前的丝绸之路，到新时代的共建“一带一路”，“中国—中亚精神”熠熠生辉，六国合作欣欣向荣
281,3,0.6667,作为新时代军工人，我们将传承和弘扬伟大抗战精神，为强军事业添砖加瓦，为捍卫和平提供坚强保障
282,2,0.9477,传承先辈精神，我一定要当好新时代的人民健康卫士
283,3,0.667,作为新时代军工人，我们将传承和弘扬伟大抗战精神，为强军事业添砖加瓦，为捍卫和平提供坚强保障
284,2,0.9477,传承先辈精神，我一定要当好新时代的人民健康卫士
285,2,0.9808,"（作者为中央党校（国家行政学院）习近平新时代中国特色社会主义思想研究中心研究员）
《 人民日报 》（ 2025年09月09日   09 版）"
286,2,0.9878,伟大抗战精神是中国人民弥足珍贵的精神财富，在新征程上必将引领我们以更加昂扬的斗志和更加坚定的信念，凝聚起推动强国建设和民族复兴的磅礴力量，不断夺取新时代伟大斗争的新胜利
287,2,0.9913,民革将更加紧密地团结在以习近平同志为核心的中共中央周围，把对伟大抗战精神的传承和弘扬，转化为履职尽责的强大动力，牢记初心使命，不断提高政治站位，发挥特色和优势，在新时代的伟大征程上，为实现中华民族伟大复兴、推进祖国完全统一贡献智慧和力量
288,2,0.9917,作为密切联系经济界的中国特色社会主义参政党，民建将铭记合作初心、传承政治薪火、深化政治共识，更加紧密地团结在以习近平同志为核心的中共中央周围，传承和弘扬伟大抗战精神，满怀信心、踔厉奋发，为实现强国建设、民族复兴伟业凝聚人心、凝聚共识、凝聚智慧、凝聚力量，谱写新时代多党合作事业新篇章
289,1,0.7681,新征程上，台盟坚决贯彻新时代中国共产党解决台湾问题的总体方略，坚持一个中国原则，坚决反对任何形式的“台独”分裂图谋和行径，继续发挥亲情乡情优势，努力为两岸融合发展架桥铺路，矢志不渝地做祖国和平统一的推动者，团结广大台湾同胞共创祖国统一、民族复兴的光荣伟业
290,0,0.6472,这一系列重要论述是坚持“两个结合”、推进妇女儿童和家庭领域理论创新的重大成果，为新时代妇女儿童事业和家庭家教家风工作高质量发展提供了强大思想武器和科学行动指南
291,3,0.9893,访问越南，赓续“越中情谊深、同志加兄弟”的传统友谊，构建具有战略意义的中越命运共同体取得新成果；访问马来西亚，回顾中马“切水不断”的世代情谊，推动高水平战略性中马命运共同体破浪前行；访问柬埔寨，引领中柬率先在双边层面构建新时代全天候命运共同体
292,1,0.6802,他表示，俄方将同中方一道，不断推动俄中新时代全面战略协作伙伴关系和各领域合作迈上新台阶
293,2,0.9678,”习近平总书记的重要讲话激励大家在新时代进一步弘扬伟大抗战精神
294,3,0.951,北京中轴线上，饱经沧桑的端门静静屹立，见证新时代大国外交的万千气象
295,3,0.9078,脚下，红毯自端门正中铺展，南贯天安门，越金水桥，抵长安街，将600年城垣与新时代大国外交庄严相接
296,1,0.9487,身后，是承载厚重文明的古老紫禁城；面前，是迈向复兴伟业的新时代盛景
297,2,0.9014,"”时光来到新时代，那最深切的呐喊，最深情的告白，引发最持久的掌声，也是亿万人民最深沉的共鸣：
“正义必胜"
298,2,0.8603,从这场晚会，看向新时代新征程，年轻一代不负韶华，堪当重任
299,3,0.942,而今，当步履铿锵、机甲轰鸣的45个方（梯）队依次通过天安门广场，捍卫和平的钢铁长城肩负着新时代神圣使命
300,3,0.5757,"站在继往开来的历史关口，新时代领路人初心如磐：
“让和平的薪火代代相传，让发展的动力源源不断，让文明的光芒熠熠生辉，是各国人民的期待，也是我们这一代政治家应有的担当"
301,2,0.9783,这场阅兵不仅是对历史的致敬，更是一场精神的接力——从烽火岁月走来的老兵，到成长于新时代的青年，爱国的种子早已在血脉中扎根，化作跨越代际的信仰之光，照亮中华民族前行的道路
302,3,0.8941,在会见武契奇时，赵乐际表示，习近平主席去年5月成功访塞，同总统先生共同引领中塞关系迈上构建新时代命运共同体的新征程
303,3,0.9782,2018年，中巴两国一致同意加强中巴全天候战略合作伙伴关系、打造新时代更加紧密的中巴命运共同体
304,4,0.8637,在他心中，新时代军人要像先辈们那样英勇善战，延续荣光
305,4,0.9801,"这是新时代人民军队政治建军新风貌、力量结构新布局、现代化建设新进展、备战打仗新成效的集中展示——
徒步方队走过来了"
306,3,0.9419,"”
亲历盛大纪念活动，孟加拉国《新时代报》记者坦齐勒·拉赫曼难掩激动：“唯有全世界人民携手并肩，才能让和平永续"
307,3,0.6834,2022年11月，古共中央第一书记、古巴国家主席迪亚斯—卡内尔对中国进行国事访问期间，两国元首达成共建中古命运共同体的重要共识，这是中国同拉美和加勒比国家间首个双边命运共同体，双方发表《中华人民共和国和古巴共和国关于深化新时代中古关系的联合声明》
308,3,0.5916,两国元首就中古两党两国关系深入交换意见，达成重要共识，一致同意继续加强战略沟通，增进高层交往，深化双多边政治协作，推动各层级交往和各领域合作，进一步深化新时代中古特殊友好关系，加快构建中古命运共同体
309,0,0.8962,二、古方高度评价习近平新时代中国特色社会主义思想的突出理论和实践贡献，祝愿在习近平同志、中国共产党的坚强领导下，中国人民不断取得社会主义建设新的伟大成就
310,4,0.8256,身处新时代，我们要以总书记重要讲话为指引，推进巩固拓展脱贫攻坚成果同乡村振兴有效衔接，带领老百姓实现产业更强、生活更好、乡村更美
311,0,0.9826,金正恩指出，在习近平总书记坚强领导下，在习近平新时代中国特色社会主义思想指引下，中国取得伟大发展成就
312,2,0.9796,"（作者为北京市习近平新时代中国特色社会主义思想研究中心特约研究员）
《 人民日报 》（ 2025年09月04日   12 版）"
313,3,0.9809,今年4月，在两国领导人战略引领下，中柬关系定位提升为新时代全天候中柬命运共同体，标志着两国关系迈入历史新阶段
314,2,0.9239,2025，奋进新时代的火热篇章
315,4,0.6128,人民军队沿着党指引的方向，向着实现党在新时代的强军目标阔步前进
316,1,0.6215,今年夏天，中国人民解放军建军98周年之际，习主席签署命令，发布兵种军旗旗面式样，标志着我军构建起新时代人民军队军旗体系
317,0,0.7989,新时代强军事业取得历史性成就、发生历史性变革，最根本的是习近平主席领航掌舵、习近平强军思想科学指引
318,3,0.942,2024年，习主席给连队全体官兵回信，希望他们“在新时代新征程上再创佳绩、再立新功”
319,4,0.5427,新时代官兵弘扬伟大抗战精神，续写英雄部队荣光，人民军队血脉永续、根基永固、优势永存
320,4,0.6479,牢记统帅的厚重期许，全军官兵践行党在新时代的强军目标，担当强军重任，全力以赴打好实现建军一百年奋斗目标攻坚战，为强军事业艰苦奋斗、顽强奋斗、不懈奋斗
321,1,0.5237,”中央党校（国家行政学院）国际战略研究院院长吴志成说，新时代的中国以更加开放的姿态拥抱世界、以更有活力的文明成就贡献世界，并坚定站在历史正确一边、站在公平正义一边，反对一切形式的霸权主义和强权政治，将为人类进步事业作出新的更大贡献
322,1,0.8293,在中国共产党的坚强领导下，中国人民创造了“两大奇迹”，成功开辟了中国特色社会主义道路，开创了中国特色社会主义新时代，中华民族迎来了从站起来、富起来到强起来的伟大飞跃，实现中华民族伟大复兴进入了不可逆转的历史进程
323,4,0.4842,历史充分表明，中国共产党是风雨来袭时全体人民最可靠的主心骨，新时代的伟大成就是党和人民一道拼出来、干出来、奋斗出来的，充分彰显了“两个确立”的决定性意义
324,1,0.8289,新时代新征程，全国各族人民要在中国共产党坚强领导下，坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻新时代中国特色社会主义思想，坚定不移走中国特色社会主义道路，传承和弘扬伟大抗战精神，踔厉奋发、勇毅前行，为以中国式现代化全面推进强国建设、民族复兴伟业而团结奋斗
325,0,0.7131,第五场“正义永恒”中，情境对话《如你所愿》情感真挚，仪式仪仗表演《守护正义》、领唱与合唱《势不可挡》将演出推向高潮，描绘了新时代中国的壮阔气象，昭示正义必胜的真理力量
326,1,0.8184,习近平强调，新时代新征程，全国各族人民要在中国共产党坚强领导下，坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻新时代中国特色社会主义思想，坚定不移走中国特色社会主义道路，传承和弘扬伟大抗战精神，踔厉奋发、勇毅前行，为以中国式现代化全面推进强国建设、民族复兴伟业而团结奋斗
327,4,0.9881,这次阅兵，共有45个方（梯）队受阅，多数武器装备首次亮相，充分展现抗战英雄部队的血脉传承，充分展示新时代人民军队政治建军新风貌、力量结构新布局、现代化建设新进展、备战打仗新成效
328,1,0.8184,习近平强调，新时代新征程，全国各族人民要在中国共产党坚强领导下，坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻新时代中国特色社会主义思想，坚定不移走中国特色社会主义道路，传承和弘扬伟大抗战精神，踔厉奋发、勇毅前行，为以中国式现代化全面推进强国建设、民族复兴伟业而团结奋斗
329,4,0.9881,这次阅兵，共有45个方（梯）队受阅，多数武器装备首次亮相，充分展现抗战英雄部队的血脉传承，充分展示新时代人民军队政治建军新风貌、力量结构新布局、现代化建设新进展、备战打仗新成效
330,1,0.8292,新时代新征程，全国各族人民要在中国共产党坚强领导下，坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻新时代中国特色社会主义思想，坚定不移走中国特色社会主义道路，传承和弘扬伟大抗战精神，踔厉奋发、勇毅前行，为以中国式现代化全面推进强国建设、民族复兴伟业而团结奋斗
331,1,0.644,新时代的中国，面对世界百年未有之大变局，改革发展稳定任务之重、矛盾风险挑战之多、治国理政考验之大，前所未有
332,3,0.9627,中塞两国人民并肩反抗法西斯侵略者的战斗经历，既是两国共同的宝贵财富，也是两国关系在新时代不断发展的坚实基础
333,3,0.9766,2024年5月，习近平主席时隔8年再次对塞尔维亚进行国事访问，同塞尔维亚总统武契奇宣布构建新时代中塞命运共同体
334,3,0.9809,中塞构建新时代命运共同体，是中塞铁杆友谊的升华，进一步拓展了构建人类命运共同体在全球的生动实践
335,0,0.703,有以习近平同志为核心的党中央坚强领导，有习近平新时代中国特色社会主义思想科学指引，有中国特色社会主义制度显著优势，有亿万人民众志成城、团结一心，就没有任何力量能够阻挡中华民族实现伟大复兴的铿锵步伐，我们一定能不断丰富和发展人类文明新形态，推动构建人类命运共同体，同各国人民一道共同开创世界的美好未来
336,3,0.9747,全球治理倡议是继三大全球倡议之后，新时代中国向世界贡献的又一重要公共产品
337,1,0.5385,俄中在世界反法西斯战争中的团结合作也成为新时代俄中关系发展的坚实基础
338,1,0.5385,俄中在世界反法西斯战争中的团结合作也成为新时代俄中关系发展的坚实基础
339,3,0.9924,新时代以来，习近平主席胸怀人类前途命运，回应国际社会期待，提出推动构建人类命运共同体，提出全球发展倡议、全球安全倡议、全球文明倡议，弘扬全人类共同价值，推进影响深远的重大实践举措，书写了多边主义新篇章，开辟了国际关系新境界
340,1,0.98,烽火连天的革命岁月，“四万万人齐蹈厉”；热火朝天的建设年代，“敢教日月换新天”；激情燃烧的历史新时期，“越是艰险越向前”；波澜壮阔的新时代，“踏平坎坷成大道”……在中国共产党的领导下，中华民族迎来了从站起来、富起来到强起来的伟大飞跃
341,4,0.5408,从完成脱贫攻坚、全面建成小康社会的历史任务，到稳居世界第二大经济体、货物贸易第一大国……新时代的伟大成就，充分彰显了“两个确立”的决定性意义，更加坚定了中国人民走自己的路的必胜信念
342,2,0.9827,从鲁班工坊、上合大学，到“健康快车国际光明行”、上合国家儿童画展……不久前，《新时代的上合故事》新书发布，讲述了上合组织国家在科技、卫生、教育、体育等领域的合作案例
343,1,0.8609,"”
肥沃的创作土壤，催生出越来越多跨国合作项目：中俄合拍纪录片《这里是中国》展示新时代中国的多彩面貌；中哈合作纪录片《中国考古》呈现双方联合考古的生动故事……影视艺术跨越国界，成为共同的语言，让普通民众产生深刻的情感连接"
344,1,0.663,中俄关系是动荡变革的当今世界最稳定、最成熟、最富战略内涵的一组大国关系，双方将弘扬正确二战史观，捍卫二战胜利成果，推进中俄新时代全面战略协作伙伴关系，为人类进步事业作出更大贡献
345,3,0.8305,壮大于新时代，上合组织已成为中国周边外交理念的重要实践平台，也是中国携手各方共同践行真正的多边主义、推动构建人类命运共同体的重要舞台
